t38349aep|UCPB_DICDI,0.0277102607810287
t38351aep|DYH2_HUMAN,0.0550685399346668
t34904aep|RTJK_DROME,0.0277102607810287
t32947aep|FACE2_DROME,0.0213880084963189
t36535aep|BAHG_VITST,0.0277102607810287
t34966aep|TI16A_XENLA,0.0620657642135693
t34968aep|RM15_DANRE,0.173150314123986
t34838aep|DYH7_HUMAN,0.0277102607810287
t32679aep|HSP70_HYDVU,0.18714812200162
t38515aep|KCNC1_MOUSE,0.0277102607810287
t31379aep|S35A3_BOVIN,0.0284260892150783
t36298aep|CO061_HUMAN,0.011535522731936
t34725aep|HS902_HUMAN,0.0485716869577675
t33726aep|RTJK_DROME,0.0277102607810287
t34733aep|MCPI_MELCP,0.084110007191877
t34782aep|DOLK_HUMAN,0.0277102607810287
t31980aep|DPM1_CRIGR,1.33975099835332
t32862aep|T112B_ARATH,0.0750363199102402
t36346aep|OPN3_MOUSE,0.0277102607810287
t32636aep|PIGZ_HUMAN,0.0393866175537374
t33829aep|MLP_ACRMI,1.73507751609529
t36068aep|PLD6_CHLRE,0.0259980065805767
t32801aep|RAB18_CHICK,0.0512677423152499
t33567aep|RSLBB_DANRE,0.00244402476039719
t33559aep|MYPH_ECHGR,0.481579955260152
t33561aep|B3GN4_MOUSE,0.0550685399346668
t33558aep|NALP9_BOVIN,0.0277102607810287
t36240aep|CDKL1_DANRE,0.0357802449009052
t37653aep|ALDH_CRAPL,0.0277102607810287
t37240aep|CC113_HUMAN,0.0277102607810287
t38701aep|COA1_HUMAN,0.0127850219873644
t31779aep|ZDHC6_PONAB,0.0643587832974836
t38384aep|VF259_IIV6,0.0277102607810287
t38376aep|FLOWR_DROVI,0.464942383049007
t38381aep|SSRB_CANLF,0.327376155814005
t35341aep|GALT2_DROME,0.142747903280045
t34860aep|PQBP1_BOVIN,0.121079868532095
t32653aep|DRAM2_MOUSE,0.596809870002806
t31894aep|GLRX2_BOVIN,0.0549548250871778
t32393aep|RNP3_SCHPO,0.00442158865136271
t33299aep|PLSC_LIMDO,0.0277102607810287
t31704aep|C1GLT_DROME,0.034546394311059
t37839aep|ZFAN1_HUMAN,0.0223129957805456
t37848aep|GHC2_RAT,0.147681347050496
t37087aep|REV1_HUMAN,0.0193980030476354
t37085aep|STK16_RAT,0.0330777664490399
t6439aep|FLII_HUMAN,0.056369546185895
t5701aep|AXIN1_HUMAN,0.274182867995637
t29959aep|OPN4B_XENLA,0.0277102607810287
t1173aep|LRRK2_HUMAN,0.0277102607810287
t1171aep|TOB1_HUMAN,0.0706783158263444
t1172aep|STX17_HUMAN,0.0308380724807212
t28618aep|LEXM_RAT,0.175081266916634
t28628aep|ST1B1_MOUSE,0.0230921430491799
t10144aep|HS12A_HUMAN,0.0990356061760043
t26980aep|MEC2_CAEEL,0.0550685399346668
t28852aep|FUCTC_DROME,0.0277102607810287
t28850aep|PRD12_HUMAN,0.0197422107628368
