t33313aep|EMC4_XENTR,0.112466816392773
t36857aep|TPPC2_XENTR,0.110104233899953
t32073aep|PIGE_DROME,0.171968563583858
t38527aep|ANK1_HUMAN,0.0595941799761339
t31255aep|GLMU_SYNJA,0.0955487083627844
t38082aep|CD033_RAT,0.0758435858506449
t38088aep|ROBO3_HUMAN,0.0952065283486802
t35517aep|CCYL1_XENTR,0.116861127223053
t33129aep|LSM1_HUMAN,0.289027036606983
t32133aep|SCOCB_DANRE,0.402982560336042
t35710aep|DH12A_XENLA,0.086863130092153
t35715aep|RN181_DANRE,0.280169359020926
t37831aep|TPMT_NITMU,0.0757173292917628
t37827aep|EMC6_BOVIN,0.183020625484995
t36018aep|OPN4_RUTRU,1.0383094434929
t36022aep|CISD1_RAT,0.294345946068734
t36020aep|ADCY9_MOUSE,0.737926671269463
t36195aep|PYGO_DROME,0.118315710111533
t36278aep|KAD6_BOVIN,0.0439691496277434
t35970aep|CNIH4_XENTR,0.040574602070665
t35974aep|IF6_XENLA,0.106799004549018
t31573aep|TMM9B_MOUSE,0.141344002613289
t33956aep|LYRM5_SALSA,0.0824083266155637
t33292aep|UBP19_HUMAN,0.0325978065403405
t33805aep|OPN4B_XENLA,0.116861127223053
t34900aep|MLC2_DROME,0.220865653386807
t32407aep|CLCN7_RAT,0.116861127223053
t34968aep|RM15_DANRE,0.664054738172367
t34831aep|MTH2_DROYA,1.64023071242868
t33913aep|PK1L2_HUMAN,0.116861127223053
t38546aep|PELET_DROME,0.219628104275524
t38550aep|CUTC_MOUSE,0.0344405158806981
t35225aep|ISCA2_HUMAN,0.0155872897409026
t31379aep|S35A3_BOVIN,0.0101486001816392
t34725aep|HS902_HUMAN,0.110364274246154
t36216aep|DLP1_MOUSE,0.156349594014182
t34781aep|SET1_YEAST,0.205193852508697
t32229aep|TM127_DANRE,0.0358916697615629
t36346aep|OPN3_MOUSE,0.225715998132305
t32638aep|POMP_BOVIN,0.0777235653912658
t32636aep|PIGZ_HUMAN,0.0741619486774691
t33669aep|CIRBP_LITCT,0.624570908553433
t32796aep|DUS16_HUMAN,0.841194281068662
t32801aep|RAB18_CHICK,0.365449506744225
t34941aep|C5AR1_HUMAN,0.116861127223053
t33564aep|LIAS_BRAFL,0.0186968682339725
t33561aep|B3GN4_MOUSE,0.225715998132305
t38051aep|RAB6A_CHICK,0.141981583676374
t32958aep|ANO7_HUMAN,0.211845494726882
t37512aep|FXRD2_HUMAN,0.027102558992858
t33875aep|NALP9_BOVIN,0.101750583230003
t34775aep|YJBQ_ECOLI,0.2243803687057
t36310aep|CPI1_PIG,0.207654401228985
t36311aep|CN166_MOUSE,0.583353367802765
t38380aep|PTN23_MOUSE,0.306435228243688
t38371aep|GLRX_RICCO,0.247381400216901
t38376aep|FLOWR_DROVI,0.175542131216818
t38370aep|NCAH_DROME,0.898826810603939
t32650aep|RL17_PODCA,0.0281719081830542
t32647aep|DD3_DICDI,0.10872229617945
t33934aep|TBB4B_MESAU,0.116861127223053
t33304aep|PK1L3_MOUSE,0.116861127223053
t31704aep|C1GLT_DROME,0.160912772034509
t37842aep|MOB1B_MOUSE,0.0435097592675508
t37848aep|GHC2_RAT,0.264908770272554
t37085aep|STK16_RAT,0.0411664032421238
t26086aep|ADRO_RAT,0.0760573832819011
t26085aep|TBA_LYTPI,1.32635529250856
t6439aep|FLII_HUMAN,0.0951385848326059
t26076aep|JAZF1_MOUSE,0.49568980879229
t20402aep|ACT_ACHBI,0.105972879874492
t5701aep|AXIN1_HUMAN,0.0798514287055617
t20399aep|ELAV2_XENTR,1.15315568712768
t29949aep|OPSD_NEOAU,0.116861127223053
t1155aep|FUCTA_DROME,0.116861127223053
t1163aep|NOT2_XENLA,0.116861127223053
t1171aep|TOB1_HUMAN,0.0263457164852082
t15201aep|DPTOR_MOUSE,0.0908704684176943
t28624aep|MAD_DROME,0.181594480679531
t10144aep|HS12A_HUMAN,0.295368863095218
t10135aep|ROR1_DROME,0.153847234930672
t10138aep|WDR5_RAT,0.180602953479325
t25928aep|FPPS_BOVIN,0.00905375854453327
t28850aep|PRD12_HUMAN,0.11031959263865
t5706aep|YXIE_BACSU,0.0266197229452328
t25939aep|MNT_XENLA,0.0157059194534501
t28848aep|KAD5_BOVIN,0.570453915408645
t28851aep|TAPT1_MOUSE,0.0983623827928651
t28853aep|ADAT2_BOVIN,0.133095491764319
t18735aep|FOXA2_ORYLA,0.997038094559282
t14519aep|ADPPT_XENLA,0.0779054210324457
t14505aep|GAS2_MOUSE,0.0751429621886239
t28511aep|U2AF2_MOUSE,0.00437609189534855
t4095aep|PNCA_ECOLI,0.214827750783744
t4094aep|COQ7_MOUSE,0.126967050723441
t25273aep|PQLC1_BOVIN,0.147181450785802
t24340aep|GCP60_RAT,0.114880075201373
t1826aep|TRI33_XENLA,0.4643643157457
t1824aep|ADCK1_MOUSE,0.096174154913017
t21710aep|IGBP1_HUMAN,0.0891337722096397
