t13326aep|KLF13_HUMAN,1.21312245083191
t7577aep|ZNFX1_MOUSE,0.236004556659589
t14402aep|PCR5_ARATH,0.0624545452878409
t14392aep|TRIAB_XENLA,0.228187948175141
t28458aep|LR2BP_DANRE,0.102670583484052
t27741aep|HGNAT_HUMAN,0.0624545452878409
t12004aep|ICA69_HUMAN,0.464573647129583
t29702aep|CMTR1_MOUSE,0.0137991127420131
t3968aep|NDF4_HUMAN,0.0529940737304342
t25232aep|KI18A_HUMAN,0.0172305078756471
t25231aep|CE290_MOUSE,0.0434795551100998
t7408aep|NALD2_MOUSE,0.909297154359764
t7404aep|APC10_MOUSE,0.00163145384820325
t18768aep|ACADV_BOVIN,0.0196019881835323
t30341aep|TMCO3_HUMAN,0.125085857967782
t30337aep|ZMYM1_HUMAN,0.0392209081256047
t21164aep|ATS18_MOUSE,0.0473440012947904
t12013aep|DYRK2_MOUSE,0.050033382806143
t1806aep|HEXA_HUMAN,1.12287038299835
t24333aep|H6ST2_CHICK,0.0330344950484316
t25015aep|FBF1_CHICK,0.0739952174840091
t3545aep|P4HTM_MOUSE,1.58749731885731
t25004aep|TR1L1_XENLA,0.639391542202512
t25017aep|PGBM_HUMAN,0.150305697914817
t29421aep|PRY3_YEAST,1.29766311055243
t29417aep|OGA_RAT,0.0226737507063545
t18628aep|RWDD4_HUMAN,0.0322500978104816
t11997aep|CC167_XENTR,0.00303423117278975
t8376aep|CHID1_XENTR,0.0434978645485577
t26598aep|KMCP1_MOUSE,0.0111002328025395
t8385aep|RTC5_ZYGRC,0.0619502273997659
t12027aep|ECE1_CAVPO,0.122821085325695
t7356aep|EGL44_CAEEL,2.03447369609061
t1498aep|LIN41_DANRE,0.00662691829788477
t1490aep|OXSR1_PONAB,0.0100890439291244
t1499aep|NAS13_CAEEL,0.350201735628388
t24217aep|CCD63_BOVIN,0.0340538009360325
t25837aep|DLGP5_MOUSE,0.0566732372269562
t25826aep|UGDH_MOUSE,0.565682591913117
t25835aep|FAT2_DROME,0.0624545452878409
t5451aep|RBL2A_PONAB,0.00292415569598075
t5462aep|CCKAR_CAVPO,0.681925467678947
t5448aep|BBS7_HUMAN,0.173412605428286
t29942aep|VAMP4_BOVIN,0.177889155686864
t29936aep|TBD2B_MOUSE,0.0667183110084454
t29939aep|B3GN5_HUMAN,0.292828060974948
t20372aep|TT30A_XENTR,0.121868735128637
t29113aep|MSRA_DROME,0.135146339770686
t29103aep|WLS_MOUSE,0.00432937165838022
t29114aep|NPC2_MAGO7,0.0547816297620755
t10991aep|COCA1_HUMAN,0.118714668111223
t27318aep|RET_RAT,0.0296990011337197
t10996aep|VGLU2_HUMAN,0.398116033737149
t10320aep|GID4_MOUSE,0.0004598555082565
t10334aep|HYOU1_DANRE,1.75265935310063
t27134aep|KI16B_HUMAN,0.378468665384311
t23603aep|CLCN3_MOUSE,0.0170372260933278
t31107aep|GALT2_HUMAN,0.0979972651065857
t2497aep|MLRP2_ACRMI,0.0814547160407249
t18769aep|GANAB_HUMAN,0.0647399778758884
t29021aep|CC142_MOUSE,0.0238179098222681
t2502aep|THOC7_DANRE,0.143655073467685
t17028aep|UB2V2_CHICK,0.0112839377628549
t17027aep|MRRP3_MOUSE,0.0522668864365343
t30875aep|UBE3C_HUMAN,0.0890796193547228
t18876aep|NSE4A_BOVIN,0.0563347805218398
t30880aep|DGP10_ARATH,0.0188183658361201
t30878aep|HENMT_RAT,0.0127252382991291
t30871aep|RBGP1_MOUSE,0.0121955182464726
t27163aep|K1841_MOUSE,0.068493719840655
t10417aep|ARL2_HUMAN,0.133800099267367
t18875aep|PREP_XENTR,0.212549912988413
t22542aep|SF3BA_ARATH,0.0624545452878409
t30750aep|SIBD2_CUPSA,0.0886864640948292
t25393aep|PAFA_CHICK,0.0134985709768058
t4445aep|CDT1_XENLA,0.0108022593158026
t4431aep|ACMSD_RAT,0.106929302985784
t25400aep|TRAF4_MOUSE,0.041890478600285
t4447aep|SRPRB_HUMAN,0.0825784285919416
t4434aep|TCB1_CAEBR,0.122821085325695
