t36826aep|LYAG_RAT,0.0102945955412363
t36835aep|ADPRM_HUMAN,0.0111382725532593
t37209aep|TRAF6_BOVIN,0.000392439118071181
t34847aep|Y165_RICPR,0.121927985221754
t34840aep|DYH5_HUMAN,0.0205640666875556
t34354aep|NIT1_BOVIN,0.00903122528030022
t33963aep|LIN54_DROME,0.0102945955412363
t37112aep|UBIA1_CHICK,0.0102945955412363
t34911aep|HSP70_HYDVU,0.11168056363282
t35927aep|KCRB_BOVIN,0.0205640666875556
t35745aep|OARD1_MOUSE,0.0981752917594285
t35738aep|DRD2L_DROME,0.0102945955412363
t34584aep|SIL1_MOUSE,0.0633237391464128
t34983aep|RTJK_DROME,0.0102945955412363
t36160aep|ABCAC_HUMAN,0.0102945955412363
t34119aep|RTJK_DROFU,0.0102945955412363
t34113aep|SPCS1_DROME,0.0575950182212869
t34069aep|ERIP6_HUMAN,0.1473553224095
t34075aep|HYDIN_MOUSE,0.117306154883634
t34064aep|RS27L_BOVIN,0.0114289243382615
t32706aep|BGAL2_DICDI,0.0102945955412363
t34824aep|PCR3_ARATH,0.0186573194462384
t34640aep|ARF_MAIZE,0.103045498737813
t38004aep|TM242_DANRE,0.0203703633764597
t35628aep|CENPS_XENLA,0.0170859987595982
t37608aep|FLVC2_HUMAN,0.0102945955412363
t36547aep|NMDZ1_MOUSE,0.0102945955412363
t36138aep|RCAN1_PONAB,0.0197967810148414
t35382aep|CPTP_BOVIN,0.0102945955412363
t33242aep|FAT2_DROME,0.0308086523136467
t33325aep|KCNH2_MOUSE,0.0102945955412363
t35749aep|AB22G_ARATH,0.0102945955412363
t34633aep|TF2H5_CHICK,0.00131154059348512
t38216aep|RTXE_DROME,0.0102945955412363
t32680aep|RL29_MACFA,0.00168611862195874
t35107aep|IF140_HUMAN,0.0102945955412363
t34616aep|PIF1_XENLA,0.011343012189489
t32073aep|PIGE_DROME,0.00764800376720606
t32071aep|TAAR3_RAT,0.0102945955412363
t34613aep|ANO6_MOUSE,0.0102945955412363
t36890aep|MYO7A_MOUSE,0.0102945955412363
t31253aep|RL40_DROME,0.0269255552762501
t38084aep|HRD1A_ARATH,0.0102945955412363
t38082aep|CD033_RAT,0.0177597455325033
t38088aep|ROBO3_HUMAN,0.0397408394412808
t35525aep|RS28_ICTPU,0.010365528920823
t36448aep|RL27_HIPCM,0.0507271233701617
t36450aep|DYH2_HUMAN,0.0163048855404023
t33129aep|LSM1_HUMAN,0.0126124017136202
t38395aep|ATM_HUMAN,0.00659658096931747
t37429aep|ACSM3_MOUSE,0.0240998812312002
t35712aep|TCB2_CAEBR,0.0102945955412363
t37833aep|CI116_SALSA,0.332969083512418
t36020aep|ADCY9_MOUSE,0.0995093768891734
t36201aep|B4GN4_HUMAN,0.0123540312296775
t33788aep|MCAF1_HUMAN,0.0102945955412363
t33953aep|DYH1_HUMAN,0.0102945955412363
t34879aep|DZIP1_DANRE,0.0102945955412363
t38351aep|DYH2_HUMAN,0.0205640666875556
t34904aep|RTJK_DROME,0.0102945955412363
t37770aep|DDX59_MOUSE,0.0205640666875556
t32444aep|ATG9_CRYGA,0.0102945955412363
t37043aep|SSPO_CHICK,0.0410285881726592
t34831aep|MTH2_DROYA,0.0174055706016714
t33913aep|PK1L2_HUMAN,0.0205640666875556
t33817aep|MEA1_BOVIN,0.0248787574689609
t38546aep|PELET_DROME,0.00420670168445558
t32679aep|HSP70_HYDVU,0.062753005558491
t35933aep|GRM1_HUMAN,0.0205640666875556
t31375aep|OPSC1_HEMSA,0.0102945955412363
t36299aep|TAA7E_RAT,0.0102945955412363
t36298aep|CO061_HUMAN,0.00438932863846293
t36301aep|MCPI_MELCP,0.0121722358888009
t31672aep|BET1_MOUSE,0.0343476288925642
t34733aep|MCPI_MELCP,0.666521245120244
t36415aep|LRRK1_HUMAN,0.0102945955412363
t34781aep|SET1_YEAST,0.190688293052595
t34782aep|DOLK_HUMAN,0.0102945955412363
t32861aep|DYH8_MOUSE,0.0102945955412363
t36346aep|OPN3_MOUSE,0.0102945955412363
t33670aep|NADA_APLKU,0.0369237102481548
t33829aep|MLP_ACRMI,0.0102945955412363
t36068aep|PLD6_CHLRE,0.0213798327780529
t34941aep|C5AR1_HUMAN,0.0410285881726592
t33567aep|RSLBB_DANRE,0.434121614582785
t33561aep|B3GN4_MOUSE,0.0308086523136467
t36240aep|CDKL1_DANRE,0.0187743149607348
t34663aep|DYH10_HUMAN,0.0205640666875556
t38059aep|FOXN3_HUMAN,0.134236087755086
t32957aep|INT5_MOUSE,0.0149560386009133
t32958aep|ANO7_HUMAN,0.00669356328213269
t36479aep|SETMR_HUMAN,0.0102945955412363
t37504aep|ANO39_PATPE,0.0122789385900382
t33881aep|MFSD6_MOUSE,0.0102945955412363
t36478aep|KLC4_RAT,0.0205640666875556
t38384aep|VF259_IIV6,0.0308086523136467
t38376aep|FLOWR_DROVI,0.212781717351771
t38381aep|SSRB_CANLF,0.56074681883435
t35341aep|GALT2_DROME,0.115188776672013
t34870aep|RDHE2_HUMAN,0.0691828135234687
t32653aep|DRAM2_MOUSE,0.163514041596664
t32650aep|RL17_PODCA,0.0332387661817554
t32647aep|DD3_DICDI,0.00215576449763367
t36343aep|MYO15_MOUSE,0.0102945955412363
t33303aep|NAS15_CAEEL,0.0102945955412363
t31704aep|C1GLT_DROME,0.0307019613263387
t37839aep|ZFAN1_HUMAN,0.0749716838906011
