t31941aep|ZNT10_MOUSE,0.196096136109373
t31942aep|ECE1_CAVPO,0.186428808456046
t31957aep|DOCK1_HUMAN,0.117154526243066
t32739aep|CHM1B_CHICK,0.136282051274035
t32744aep|LMX1A_HUMAN,0.764407907368146
t32736aep|GRM7_MOUSE,0.00263115248132942
t32755aep|RBCC1_MOUSE,0.105980746598076
t33610aep|VP33A_RAT,0.0756395325141122
t33590aep|STS_HUMAN,0.004228804785734
t33615aep|S43A3_BOVIN,0.0280454468012477
t38591aep|CAPS1_RAT,0.0718721581981493
t38579aep|CB069_DANRE,0.039638517181794
t38419aep|G3ST3_MOUSE,0.221334072230984
t38428aep|SIX6_HUMAN,0.577942741844574
t38432aep|MYO3B_HUMAN,0.130085901475676
t38424aep|YRD6_CAEEL,0.00263115248132942
t38506aep|ANK2_HUMAN,0.00263115248132942
t38510aep|ZN235_MOUSE,0.266326300711994
t35194aep|OPSD1_MIZYE,0.0079049884928549
t38499aep|ECM29_HUMAN,0.0902981334893104
t31740aep|PPIL2_MOUSE,0.138459647690322
t31732aep|F10C1_MOUSE,0.036036183369536
t31725aep|TPC13_XENTR,0.0095216337651537
t31734aep|VITRN_MOUSE,0.00407032742199786
t33104aep|SL9A8_HUMAN,0.0603409118657538
t33102aep|FAF2B_XENLA,0.0376383418173083
t33111aep|RPAP3_RAT,0.0105476691756932
t33101aep|SAFB1_MOUSE,0.159972603000557
t33099aep|ASM_BOVIN,0.0670260709652024
t33109aep|DAG1_BOVIN,0.0318272230893744
t33106aep|NPHP3_HUMAN,2.36980000794826
t37444aep|TRI37_HUMAN,0.121754877276396
t37447aep|ANKS3_HUMAN,0.388798240394717
t37461aep|EYS_HUMAN,0.0131941897118008
t37460aep|TBCEL_RAT,0.035794395705576
t36608aep|NCLN_DANRE,0.275339231564271
t36604aep|LANC3_MOUSE,0.109942003862541
t36593aep|THAP4_BOVIN,0.00263115248132942
t36591aep|ZMYM1_HUMAN,0.0129886854877296
t36612aep|ERIC3_HUMAN,0.023546190950158
t34700aep|DRD1_BOVIN,0.0495266885168599
t34689aep|RAB14_PONAB,0.300060168210999
t34698aep|TSSK3_HUMAN,0.0245349277590907
t34694aep|PGBD4_HUMAN,0.00263115248132942
t34695aep|SORCN_SCHJA,0.0079049884928549
t34691aep|PLCL2_MOUSE,0.004228804785734
t34701aep|TM223_HUMAN,0.0325380366875295
t32296aep|HSP70_HYDVU,0.113386853650075
t32295aep|CHD1_MOUSE,0.0830331844064429
t32289aep|GTD2A_HUMAN,0.00263115248132942
t32275aep|CAN5_MOUSE,0.0145975861243556
t32290aep|NOL6_MOUSE,0.233535134720835
t32278aep|TRM2A_HUMAN,0.100875330355024
t32280aep|5HTR_LYMST,0.00263115248132942
t32899aep|RTBS_DROME,0.00263115248132942
t32902aep|AFAD_HUMAN,0.0929733337430329
t32901aep|APBP2_RAT,0.011716633031702
t32917aep|CC020_MOUSE,0.00845604676101894
t32927aep|RTJK_DROME,0.0079049884928549
t32931aep|OCTL_DROME,0.0245657692714063
t32932aep|HYD_DROME,0.0644803333154917
t32334aep|DCTP1_MOUSE,0.00437682488684141
t32349aep|CRJ1A_TRICY,0.0435746332317758
t32353aep|THOC2_DASNO,0.103709185019295
