t34594aep|TARB1_HUMAN,0.0159245701033334
t32680aep|RL29_MACFA,0.0280360835431419
t34316aep|HYPK_MOUSE,0.0859538600410689
t31471aep|APOB_RAT,0.00485222166478967
t31462aep|ABCA1_HUMAN,0.0091907562565118
t33313aep|EMC4_XENTR,0.00804513396085032
t34613aep|ANO6_MOUSE,0.0091907562565118
t36890aep|MYO7A_MOUSE,0.0091907562565118
t35960aep|PKD2_ORYLA,0.0091907562565118
t35954aep|RT28_MOUSE,0.122417464230019
t31257aep|DYH5_MOUSE,0.0091907562565118
t36058aep|ACHA3_CHICK,0.0091907562565118
t33346aep|SGCB_MESAU,0.0801885823686832
t38086aep|PIHD1_XENLA,0.0116128036699475
t36450aep|DYH2_HUMAN,0.0091907562565118
t31365aep|ASPH2_XENTR,0.0152995646002086
t38395aep|ATM_HUMAN,0.00330079781193106
t32123aep|KLC_DROME,0.0091907562565118
t35715aep|RN181_DANRE,0.143128352366126
t37825aep|TM14C_DANRE,0.511514697758403
t37833aep|CI116_SALSA,0.210793589806787
t36018aep|OPN4_RUTRU,0.0091907562565118
t36020aep|ADCY9_MOUSE,0.213400283322977
t36195aep|PYGO_DROME,0.0834221139430791
t36278aep|KAD6_BOVIN,0.232591080440638
t35946aep|PIGW_RAT,0.0091907562565118
t33956aep|LYRM5_SALSA,0.14838667307366
t38349aep|UCPB_DICDI,0.0183616565381938
t38351aep|DYH2_HUMAN,0.0091907562565118
t37770aep|DDX59_MOUSE,0.0091907562565118
t37108aep|DNAS1_HUMAN,0.0183616565381938
t35753aep|POL_COYMV,0.00794886166110259
t36535aep|BAHG_VITST,0.0091907562565118
t31640aep|GP2_CANLF,0.0183616565381938
t35283aep|R213B_DANRE,0.0091907562565118
t34966aep|TI16A_XENLA,0.151468310265221
t34838aep|DYH7_HUMAN,0.0091907562565118
t34827aep|RPB7_RAT,0.145133530446076
t34831aep|MTH2_DROYA,0.0535950344774063
t33911aep|RL36_IXOSC,0.279264148697611
t37499aep|CB047_HUMAN,0.253324716859942
t32679aep|HSP70_HYDVU,0.14823785097414
t34725aep|HS902_HUMAN,0.00269390327961265
t33726aep|RTJK_DROME,0.0091907562565118
t34733aep|MCPI_MELCP,0.10377881443913
t37226aep|NOS3_CANLF,0.0366445604624194
t36415aep|LRRK1_HUMAN,0.0091907562565118
t34781aep|SET1_YEAST,0.260267103010094
t31980aep|DPM1_CRIGR,0.762559578871742
t36351aep|FKBP2_MOUSE,0.0759621892220827
t36347aep|PRPK_HUMAN,0.229100246260332
t33670aep|NADA_APLKU,0.0673240757938538
t33663aep|RLP24_MOUSE,0.33773402695463
